USD/CAD,BID,1.04
USD/JPY,ASK,1.22
USD/CAD,ASK,1.11
USD/CAD,BID,0.98
USD/JPY,BID,1.23
USD/JPY,ASK,1.43
USD/CAD,BID,1.55
USD/CAD,ASK,1.02
USD/CAD,BID,1.04
USD/JPY,ASK,1.22
USD/CAD,ASK,1.11
USD/CAD,BID,0.18
USD/JPY,BID,1.23
USD/JPY,ASK,1.33
USD/CAD,BID,1.35
USD/CAD,BID,1.04
USD/JPY,ASK,1.22
USD/CAD,ASK,1.14
USD/CAD,BID,0.99
USD/JPY,BID,1.23
USD/JPY,ASK,1.11
EUR/USD,ASK,1.31
USD/CAD,BID,1.55
USD/CAD,BID,1.04
USD/JPY,ASK,1.53
USD/CAD,ASK,1.11
USD/CAD,BID,0.98
USD/JPY,BID,1.23
USD/JPY,ASK,1.87
USD/CAD,BID,1.55
USD/CAD,BID,1.04
USD/JPY,ASK,1.22
USD/CAD,ASK,0.56
USD/CAD,BID,0.33
USD/JPY,BID,1.23
USD/JPY,ASK,1.33
USD/CAD,BID,1.55
USD/CAD,BID,1.03
EUR/USD,ASK,1.32
USD/JPY,ASK,1.22
USD/CAD,ASK,1.11
USD/CAD,BID,0.78
USD/JPY,BID,1.99
USD/JPY,ASK,1.33
USD/CAD,BID,1.55
USD/CAD,BID,1.32
USD/JPY,ASK,1.22
USD/CAD,ASK,1.11
USD/CAD,BID,0.98
USD/JPY,BID,1.51
USD/JPY,ASK,1.32
USD/CAD,BID,1.55
USD/CAD,BID,1.04
USD/JPY,ASK,1.22
USD/CAD,ASK,1.11
USD/CAD,BID,0.65
USD/JPY,BID,1.23
USD/JPY,ASK,1.33
USD/CAD,BID,1.42
USD/CAD,BID,1.63
EUR/USD,ASK,1.31
EUR/USD,ASK,1.33
USD/JPY,ASK,1.22
USD/CAD,ASK,1.14
USD/CAD,BID,0.98
USD/JPY,BID,1.23
USD/JPY,ASK,1.33
USD/CAD,BID,1.55
USD/CAD,BID,1.04
USD/JPY,ASK,1.22
USD/CAD,ASK,1.11
USD/CAD,BID,0.98
USD/JPY,BID,1.23
USD/JPY,ASK,1.93
USD/CAD,BID,1.55
USD/CAD,BID,1.14
GBP/USD,BID,1.66
USD/JPY,ASK,1.22
USD/CAD,ASK,1.11
USD/CAD,BID,0.98
USD/JPY,BID,1.23
GBP/USD,ASK,1.69
USD/JPY,ASK,1.33
GBP/USD,ASK,1.65
USD/CAD,BID,1.55
